id,titulaire,emetteur,cyberharcelementType,plateforme,accompagnement,date,genre,age,typeAccompagnement,langue,anonymat
979,Oui,public,Publication de photos intimes ou personnelles,Facebook,Non,2025-01-01,Masculin,Plus de 26 ans,Suppression,fr,Oui
980,Non,public,Publication de photos intimes ou personnelles,Instagram,Non,2025-01-02,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
981,Oui,public,Publication de photos intimes ou personnelles,Facebook,Oui,2025-01-03,Féminin,Âges de 18 à 25 ans,Juridique;Psychique;Suppression,ar,Non
982,Oui,public,Autres,Facebook,Non,2025-01-04,Féminin,Plus de 26 ans,Suppression,fr,Oui
983,Non,public,Autres,Facebook,Non,2025-01-05,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
984,Oui,public,Propos de haine,Instagram,Oui,2025-01-06,Féminin,Plus de 26 ans,Juridique;Suppression,fr,Non
985,Oui,public,Propos de haine,Instagram,Non,2025-01-07,Féminin,Plus de 26 ans,Suppression,fr,Oui
986,Non,public,Menace de publier des photos intimes ou personnelles,Instagram,Non,2025-01-08,Féminin,Plus de 26 ans,Suppression,fr,Oui
987,Oui,public,Propos de haine,Facebook,Non,2025-01-09,Masculin,Plus de 26 ans,Suppression,fr,Oui
988,Oui,public,Diffamation,Instagram,Non,2025-01-10,Masculin,Plus de 26 ans,Suppression,fr,Oui
989,Oui,public,Diffamation,Instagram,Non,2025-01-11,Masculin,Âges de 18 à 25 ans,Suppression,ar,Oui
990,Oui,public,Publication de photos intimes ou personnelles,Instagram,Non,2025-01-12,Masculin,Âges de 18 à 25 ans,Suppression,ar,Oui
991,Oui,public,Publication de photos intimes ou personnelles,Instagram,Oui,2025-01-13,Masculin,Âges de 18 à 25 ans,Juridique;Suppression,fr,Non
992,Non,public,Autres,Instagram,Non,2025-01-14,Féminin,Plus de 26 ans,Suppression,fr,Oui
993,Non,public,Autres,Instagram,Non,2025-01-15,Féminin,Plus de 26 ans,Suppression,fr,Oui
994,Oui,public,Autres,Instagram,Non,2025-01-16,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
995,Oui,public,Autres,Instagram,Non,2025-01-17,Féminin,Plus de 26 ans,Suppression,fr,Oui
996,Oui,public,Propos de haine,Instagram,Non,2025-01-18,Masculin,Âges de 18 à 25 ans,Suppression,fr,Oui
997,Non,public,Propos raciste ou discriminatoire,Instagram,Non,2025-01-19,Masculin,Âges de 18 à 25 ans,Suppression,fr,Oui
998,Oui,public,Usurpation d’identité,Facebook,Non,2025-01-20,Féminin,Plus de 26 ans,Suppression,fr,Oui
999,Oui,public,Publication de photos intimes ou personnelles,WhatsApp,Non,2025-01-21,Féminin,Plus de 26 ans,Suppression,fr,Oui
1000,Oui,public,Diffamation,Facebook,Non,2025-01-22,Féminin,Plus de 26 ans,Suppression,ar,Oui
1001,Non,public,Publication de photos intimes ou personnelles,Facebook,Non,2025-01-23,Masculin,Plus de 26 ans,Suppression,ar,Oui
1002,Oui,public,Autres,Instagram,Oui,2025-01-24,Féminin,Plus de 26 ans,Juridique;Psychique;Suppression,fr,Non
1003,Oui,public,Publication de photos intimes ou personnelles,Tiktok,Non,2025-01-25,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1004,Non,public,Diffamation,Facebook,Non,2025-01-26,Féminin,Âges de 18 à 25 ans,Suppression,ar,Oui
1005,Oui,public,Diffamation,Tiktok,Non,2025-01-27,Féminin,Âges de 18 à 25 ans,Suppression,ar,Oui
1006,Oui,public,Autres,Instagram,Oui,2025-01-28,Féminin,Plus de 26 ans,Juridique;Psychique;Suppression,fr,Non
1007,Non,public,Diffamation,Tiktok,Non,2025-01-29,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1008,Oui,public,Publication de photos intimes ou personnelles,Tiktok,Non,2025-01-30,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1009,Oui,public,Publication de photos intimes ou personnelles,Tiktok,Non,2025-01-31,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1010,Non,public,Publication de photos intimes ou personnelles,Tiktok,Non,2025-02-01,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1011,Non,public,Publication de photos intimes ou personnelles,Tiktok,Non,2025-02-02,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1012,Non,public,Publication de photos intimes ou personnelles,Tiktok,Non,2025-02-03,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1013,Non,public,Publication de photos intimes ou personnelles,Tiktok,Non,2025-02-04,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1014,Oui,public,Autres,Instagram,Oui,2025-02-05,Féminin,Plus de 26 ans,Juridique;Psychique;Suppression,fr,Non
1015,Oui,public,Autres,Tiktok,Non,2025-02-06,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1016,Oui,public,Autres,Facebook,Oui,2025-02-07,Féminin,Âges de 18 à 25 ans,Psychique;Suppression,ar,Non
1017,Oui,public,Propos de haine,Instagram,Oui,2025-02-08,Masculin,Âges de 18 à 25 ans,Juridique;Psychique;Suppression,fr,Non
1018,Oui,public,Autres,Facebook,Non,2025-02-09,Féminin,Plus de 26 ans,Suppression,fr,Oui
1019,Oui,public,Propos de haine,Facebook,Non,2025-02-10,Féminin,Plus de 26 ans,Suppression,ar,Oui
1020,Oui,public,Autres,Facebook,Non,2025-02-11,Féminin,Plus de 26 ans,Suppression,fr,Oui
1021,Oui,public,Menace de publier des photos intimes ou personnelles,WhatsApp,Oui,2025-02-12,Féminin,Âges de 18 à 25 ans,Juridique;Psychique;Suppression,ar,Non
1022,Oui,public,Menace de publier des photos intimes ou personnelles,WhatsApp,Oui,2025-02-13,Féminin,Plus de 26 ans,Juridique;Psychique;Suppression,fr,Non
1023,Oui,public,Autres,Instagram,Non,2025-02-14,Masculin,Plus de 26 ans,Suppression,fr,Oui
1024,Oui,public,Publication de photos intimes ou personnelles,Instagram,Non,2025-02-15,Masculin,Plus de 26 ans,Suppression,fr,Oui
1025,Non,public,Publication de photos intimes ou personnelles,Facebook,Non,2025-02-16,Masculin,Plus de 26 ans,Suppression,fr,Oui
1026,Oui,public,Autres,WhatsApp,Oui,2025-02-17,Féminin,Plus de 26 ans,Juridique;Suppression,fr,Non
1027,Oui,public,Autres,Facebook,Non,2025-02-18,Féminin,Plus de 26 ans,Suppression,fr,Oui
1028,Oui,public,Propos de haine,Facebook,Non,2025-02-19,Masculin,Plus de 26 ans,Suppression,fr,Oui
1029,Oui,public,Menace de publier des photos intimes ou personnelles,WhatsApp,Oui,2025-02-20,Féminin,Plus de 26 ans,Juridique;Psychique;Suppression,fr,Non
1030,Oui,public,Propos de haine,Tiktok,Non,2025-02-21,Masculin,Plus de 26 ans,Suppression,fr,Oui
1031,Non,public,Publication de photos intimes ou personnelles,Facebook,Non,2025-02-22,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1032,Non,public,Autres,Instagram,Non,2025-02-23,Masculin,Âges de 18 à 25 ans,Suppression,ar,Oui
1033,Non,public,Propos de haine,Instagram,Non,2025-02-24,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1034,Oui,public,Publication de photos intimes ou personnelles,WhatsApp,Non,2025-02-25,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1035,Oui,public,Propos de haine,WhatsApp,Oui,2025-02-26,Féminin,Âges de 18 à 25 ans,Juridique;Suppression,fr,Non
